nohup: ignoring input
INFO:root:Called with argument: Namespace(bbox_vote=True, dataset='retinaface', dataset_path='./data/retinaface', epoch=149, gpu=2, image_set='val', mode=1, network='net3a', nocrop=False, output='./test_out_dir/mnet_net3a_05', part=0, parts=1, prefix='model/mnet_net3a/mnet_net3a', pyramid=True, root_path='./data', thresh=0.5)
[17:00:39] src/nnvm/legacy_json_util.cc:209: Loading symbol saved by previous version v1.4.1. Attempting to upgrade...
[17:00:39] src/nnvm/legacy_json_util.cc:217: Symbol successfully upgraded!
[0] recall 0.0 (126, 2) all: 0.0
[1] recall 0.0 (29, 7) all: 0.0
[2] recall 0.007575757575757576 (132, 39) all: 0.003484320557491289
[3] recall 0.0 (5, 5) all: 0.003424657534246575
[4] recall 0.0 (26, 3) all: 0.0031446540880503146
[5] recall 0.0 (36, 5) all: 0.002824858757062147
[6] recall 0.04 (25, 21) all: 0.005277044854881266
[7] recall 0.0 (22, 6) all: 0.004987531172069825
[8] recall 0.0 (13, 12) all: 0.004830917874396135
[9] recall 0.0 (1, 1) all: 0.004819277108433735
[10] recall 0.011627906976744186 (86, 3) all: 0.005988023952095809
[11] recall 0.0 (29, 11) all: 0.005660377358490566
[12] recall 0.0 (19, 6) all: 0.00546448087431694
[13] recall 0.0 (6, 3) all: 0.005405405405405406
[14] recall 0.0 (20, 5) all: 0.0052173913043478265
[15] recall 0.0 (221, 38) all: 0.0037688442211055275
[16] recall 0.0 (13, 5) all: 0.003708281829419036
[17] recall 0.0 (21, 7) all: 0.0036144578313253013
[18] recall 0.023255813953488372 (43, 24) all: 0.004581901489117984
[19] recall 0.0 (31, 12) all: 0.004424778761061947
[20] recall 0.25 (4, 4) all: 0.005506607929515419
[21] recall 0.0 (20, 2) all: 0.005387931034482759
[22] recall 0.0 (3, 3) all: 0.0053705692803437165
[23] recall 0.8333333333333334 (6, 5) all: 0.010672358591248666
[24] recall 0.0 (2, 2) all: 0.010649627263045794
[25] recall 0.0 (130, 21) all: 0.009354536950420954
[26] recall 0.0 (54, 41) all: 0.008904719501335707
[27] recall 0.0 (20, 13) all: 0.008748906386701663
[28] recall 0.0 (19, 4) all: 0.008605851979345954
test_widerface_pad.py:179: RuntimeWarning: invalid value encountered in true_divide
  recall = found / float(gt_boxes.shape[0])
[29] recall nan (0, 1) all: 0.008605851979345954
[30] recall 0.0 (13, 2) all: 0.00851063829787234
[31] recall 1.0 (3, 4) all: 0.011035653650254669
[32] recall 0.008928571428571428 (112, 19) all: 0.010852713178294573
[33] recall 0.0 (15, 13) all: 0.010727969348659003
[34] recall 0.0 (16, 4) all: 0.010598031794095382
[35] recall 0.0 (32, 8) all: 0.010347376201034738
[36] recall 0.0 (11, 7) all: 0.010263929618768328
[38] recall 0.0 (3, 1) all: 0.010241404535479151
[39] recall 0.0 (29, 7) all: 0.01002865329512894
[40] recall 0.0 (22, 7) all: 0.009873060648801129
[41] recall 0.0 (1, 1) all: 0.009866102889358703
[42] recall 0.0 (12, 4) all: 0.009783368273934312
[43] recall 0.0 (7, 6) all: 0.009735744089012517
[44] recall 0.0 (5, 6) all: 0.009702009702009701
[45] recall 0.0 (18, 9) all: 0.009582477754962354
[46] recall 0.0 (17, 10) all: 0.009472259810554804
[47] recall 0.0 (39, 9) all: 0.00922874093605801
[48] recall 0.0 (12, 2) all: 0.009156311314584695
[49] recall 0.0 (37, 10) all: 0.008939974457215836
[51] recall 0.05263157894736842 (19, 1) all: 0.00946372239747634
[52] recall 0.6 (5, 4) all: 0.011320754716981131
[53] recall 0.0 (11, 9) all: 0.011242973141786383
[54] recall 0.01282051282051282 (78, 20) all: 0.011316259678379988
[55] recall 0.06666666666666667 (15, 10) all: 0.011806375442739079
[56] recall 0.0 (5, 5) all: 0.011771630370806356
[57] recall 0.0 (24, 28) all: 0.011607661056297156
[58] recall 0.007042253521126761 (142, 54) all: 0.011260053619302948
[59] recall 0.0 (3, 5) all: 0.011241970021413276
[60] recall 0.0 (2, 2) all: 0.011229946524064172
[61] recall 0.0 (25, 9) all: 0.01108179419525066
[62] recall 0.04411764705882353 (68, 7) all: 0.012226184411614875
[63] recall 1.0 (4, 5) all: 0.014234875444839857
[64] recall 0.0 (16, 1) all: 0.014120020171457387
[65] recall 0.007067137809187279 (283, 88) all: 0.01323918799646955
[66] recall 0.0 (5, 6) all: 0.013210039630118891
[67] recall 0.0 (8, 7) all: 0.013163668275559455
[68] recall 0.0 (28, 11) all: 0.013003901170351105
[69] recall 0.0 (11, 1) all: 0.012942191544434857
[72] recall 0.0 (20, 12) all: 0.01283147989734816
[73] recall 0.0 (3, 3) all: 0.012815036309269542
[74] recall 0.0 (27, 4) all: 0.01266891891891892
[75] recall 0.0 (74, 2) all: 0.012285012285012284
[76] recall 0.0 (13, 11) all: 0.012219959266802444
[77] recall 0.0 (7, 6) all: 0.012185215272136474
[78] recall 0.0 (18, 5) all: 0.012096774193548387
[79] recall 0.0 (64, 10) all: 0.01179245283018868
[80] recall 0.0 (14, 13) all: 0.011727912431587178
[82] recall 0.0 (6, 5) all: 0.01170046801872075
[83] recall 0.0 (36, 2) all: 0.011538461538461539
[84] recall 0.0 (39, 22) all: 0.011367942402425162
[85] recall 0.0 (8, 8) all: 0.011333585190782017
[86] recall 0.0 (1, 2) all: 0.011329305135951661
[87] recall 0.0 (9, 8) all: 0.011290929619872036
[88] recall 0.041666666666666664 (24, 15) all: 0.011562849682954122
[89] recall 0.0 (119, 1) all: 0.01107142857142857
[90] recall 0.0 (1, 2) all: 0.011067475901463763
[91] recall 1.0 (1, 2) all: 0.011420413990007138
[92] recall 0.35294117647058826 (17, 14) all: 0.013479957431713374
[93] recall 0.0 (12, 2) all: 0.013422818791946308
[94] recall 0.02631578947368421 (76, 42) all: 0.013759889920880633
[95] recall 0.48148148148148145 (27, 19) all: 0.018064076346284937
[96] recall 0.03125 (32, 26) all: 0.01820633850303439
[97] recall 0.0 (317, 29) all: 0.016448370392933294
[98] recall 0.0 (2, 2) all: 0.01643835616438356
[99] recall 0.042105263157894736 (95, 52) all: 0.017159763313609466
[100] recall 0.0 (9, 7) all: 0.017114192977279435
[101] recall 0.0 (12, 4) all: 0.017053807703616582
[102] recall 0.0 (41, 10) all: 0.0168506682161534
[103] recall 0.0 (52, 6) all: 0.01659988551803091
[104] recall 0.0 (18, 4) all: 0.01651480637813212
[105] recall 0.0 (13, 2) all: 0.016453900709219857
[106] recall 0.0 (19, 8) all: 0.01636568848758465
[107] recall 0.6 (5, 5) all: 0.017187940264863342
[108] recall 0.027777777777777776 (36, 17) all: 0.017294281729428172
[109] recall 0.0 (45, 1) all: 0.017079889807162536
[110] recall 0.0 (26, 8) all: 0.016958424507658644
[111] recall 0.0 (10, 8) all: 0.01691216584833606
[112] recall 0.0 (25, 3) all: 0.01679761582227039
[113] recall 0.0 (4, 4) all: 0.016779431664411367
[114] recall 0.0 (19, 1) all: 0.01669359181475498
[115] recall 0.0 (5, 2) all: 0.016671148158107017
[116] recall 0.0 (2, 2) all: 0.0166621875839828
[117] recall 0.0 (1, 1) all: 0.016657710908113917
[118] recall 0.0 (2, 2) all: 0.01664876476906552
[119] recall 1.0 (1, 1) all: 0.016912751677852347
[120] recall 1.0 (1, 2) all: 0.017176596886741814
[121] recall 0.5 (2, 2) all: 0.017435622317596565
[122] recall 1.0 (1, 1) all: 0.017699115044247787
[123] recall 0.6 (5, 5) all: 0.018478843063738617
[124] recall 0.75 (4, 4) all: 0.019261637239165328
[125] recall 0.0 (6, 6) all: 0.019230769230769232
[126] recall 1.0 (1, 1) all: 0.019492656875834447
[127] recall 0.0 (1, 1) all: 0.019487453283502404
[128] recall 0.0 (25, 1) all: 0.01935826040837974
[129] recall 0.0 (3, 3) all: 0.019342872284048754
[130] recall 1.0 (1, 3) all: 0.01960264900662252
[131] recall 1.0 (2, 2) all: 0.020121789780248873
[132] recall 0.0 (11, 9) all: 0.02006335797254488
[133] recall 0.0 (1, 1) all: 0.020058062813407232
[134] recall 0.6666666666666666 (3, 3) all: 0.020569620253164556
[135] recall 0.02040816326530612 (196, 62) all: 0.020561685055165497
[136] recall 0.0 (1, 1) all: 0.020556530458761595
[137] recall 0.0 (1, 1) all: 0.02055137844611529
[138] recall 0.25 (4, 3) all: 0.020781171757636455
[139] recall 0.25 (4, 3) all: 0.021010505252626314
[140] recall 1.0 (2, 2) all: 0.0215
[141] recall 1.0 (2, 2) all: 0.021989005497251374
[142] recall 1.0 (1, 1) all: 0.022233325006245315
[143] recall 0.0 (1, 1) all: 0.022227772227772228
[144] recall 0.0 (17, 2) all: 0.022133797562795324
[145] recall 0.0 (58, 10) all: 0.02181907330227997
[146] recall 0.0 (9, 7) all: 0.021771037181996085
[147] recall 0.1 (10, 6) all: 0.021961932650073207
[148] recall 0.0 (7, 3) all: 0.02192448233861145
[149] recall 0.0 (17, 1) all: 0.021834061135371178
[150] recall 0.0 (38, 2) all: 0.021634615384615384
[151] recall 0.0 (4, 5) all: 0.021613832853025938
[152] recall 0.027777777777777776 (72, 37) all: 0.021718602455146365
[153] recall 0.0 (1, 1) all: 0.021713476516403117
[154] recall 0.09523809523809523 (21, 18) all: 0.02207609206200094
[155] recall 0.0 (24, 14) all: 0.021952358710882764
[156] recall 0.0 (16, 9) all: 0.021870637505816658
[157] recall 0.0 (4, 5) all: 0.02185030218503022
[158] recall 1.0 (1, 1) all: 0.022077620264931444
[159] recall 0.0 (37, 8) all: 0.021889400921658985
[160] recall 0.3333333333333333 (9, 7) all: 0.022533915842722466
[161] recall 0.7857142857142857 (14, 12) all: 0.024982809993123998
[162] recall 0.6624472573839663 (237, 162) all: 0.05782608695652174
[163] recall 0.0 (1, 1) all: 0.05781351880026081
[164] recall 0.0 (17, 12) all: 0.057600692940666956
[165] recall 0.0 (15, 7) all: 0.057414202460608674
[166] recall 0.0 (147, 15) all: 0.05564853556485356
[167] recall 0.07142857142857142 (14, 11) all: 0.05569461827284105
[168] recall 0.0 (9, 9) all: 0.055590256089943786
[169] recall 0.003205128205128205 (624, 66) all: 0.049566979915238625
[170] recall 0.0 (7, 5) all: 0.04950312845049687
